DrugBank ID,drug_name,PX,ST_VIRUS,cleaned_smiles,scaffolds,clusters
,,7.42022,Hepatitis B virus,C[C@H]1Cn2nnc(C(=O)N[C@H](C)C(F)(F)F)c2CN1C(=O)Nc1ccc(F)c(C#N)c1,O=C(Nc1ccccc1)N1CCn2nncc2C1,-1
,,7.42022,Hepatitis C virus,N#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1C(F)(F)F,c1ccc(Nc2nc[nH]n2)cc1,-1
,,7.42022,Hepatitis C virus,COC(=O)N[C@@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(N3CCC(c4cnc([C@@H]5CCCN5C(=O)[C@H](NC(=O)OC)c5ccccc5)[nH]4)CC3)c(F)c2)[nH]1)c1ccccc1,O=C(Cc1ccccc1)N1CCCC1c1ncc(-c2ccc(N3CCC(c4cnc(C5CCCN5C(=O)Cc5ccccc5)[nH]4)CC3)cc2)[nH]1,-1
,,7.42022,Influenza A virus,COCCOc1ccc(C(=O)Nc2sc3c(c2C(=O)O)CCC(c2ccccc2)C3)cc1,O=C(Nc1cc2c(s1)CC(c1ccccc1)CC2)c1ccccc1,-1
,Diphyllin,7.41657,Influenza A virus,COc1cc2c(O)c3c(c(-c4ccc5c(c4)OCO5)c2cc1OC)C(=O)OC3,O=C1OCc2cc3ccccc3c(-c3ccc4c(c3)OCO4)c21,-1
,,7.41454,Influenza A virus,CC(C)(C)C1CCc2c(sc(NC(=O)c3ccc(OC(F)(F)F)cc3)c2C(=O)O)C1,O=C(Nc1cc2c(s1)CCCC2)c1ccccc1,577
,AJM3/23,7.41,Cytomegalovirus,C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](CC(COP(=O)(Oc3ccccc3)Oc3ccccc3)C[C@H]3O[C@@H]4O[C@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@@]23OO4,O=P(OCC(CC1CC2CCCC3CCC4OOC32C(O1)O4)CC1CC2CCCC3CCC4OOC32C(O1)O4)(Oc1ccccc1)Oc1ccccc1,116
,,7.41,Cytomegalovirus,Cc1nc(N(C)Cc2ccccc2)nc(-n2ccnc2C)c1[N+](=O)[O-],c1ccc(CNc2nccc(-n3ccnc3)n2)cc1,-1
,,7.40894,Hepatitis C virus,CCOc1cc(Cl)cc(Cl)c1C1=N[C@H](NC(=O)c2cc(F)cnc2OCC(N)=O)C(=O)Nc2ccccc21,O=C(NC1N=C(c2ccccc2)c2ccccc2NC1=O)c1cccnc1,574
,M-090,7.40894,Influenza A virus,C[C@H]1[C@H](NCc2sccc2C2CC2)C[C@@H]2C[C@H]1C2(C)C,c1cc(C2CC2)c(CNC2CC3CC(C3)C2)s1,-1
,JNJ-54138890,7.40894,Hepatitis B virus,COC(=O)C1=C(CN2CCOCC2)NC(c2ccccn2)=N[C@@]12CCc1c(F)cccc12,C1=C(CN2CCOCC2)NC(c2ccccn2)=NC12CCc1ccccc12,-1
,HEC-72702,7.40894,Hepatitis B virus,CCOC(=O)C1=C(CN2CCO[C@H](CCC(=O)O)C2)NC(c2nccs2)=N[C@H]1c1ccc(F)cc1Br,C1=C(CN2CCOCC2)NC(c2nccs2)=NC1c1ccccc1,-1
,,7.40894,Hepatitis C virus,Cc1ccc(-c2c(C3CCCCC3)c3ccc(C(=O)NC(C)(C)C(=O)Nc4ccc(/C=C/C(=O)O)cc4)cc3n2C)cn1,O=C(CNC(=O)c1ccc2c(C3CCCCC3)c(-c3cccnc3)[nH]c2c1)Nc1ccccc1,-1
,,7.40894,Hepatitis B virus,COc1cc2c(cc1OCC(C)(C)CO)CN(CC(C)C)n1cc(C(=O)O)c(=O)cc1-2,O=c1ccn2c(c1)-c1ccccc1CN2,-1
,,7.40894,Hepatitis C virus,Nc1c(-c2nnc(C3CCCCC3)o2)sc2nc3c(c(C(F)(F)F)c12)CCC3,c1c(-c2nnc(C3CCCCC3)o2)sc2nc3c(cc12)CCC3,-1
,,7.40894,Hepatitis B virus,O=C(Nc1cc(F)c(F)c(F)c1)C1CCn2ncc(N3CCCS3(=O)=O)c2C1,O=C(Nc1ccccc1)C1CCn2ncc(N3CCCS3(=O)=O)c2C1,-1
,,7.40894,Hepatitis B virus,COc1ccc(Sc2nc(N)nc3c2ncn3CCOCP(=O)(N[C@H](C)C(=O)OC(C)C)Oc2ccc3c(c2)OCO3)cc1,O=[PH](COCCn1cnc2c(Sc3ccccc3)ncnc21)Oc1ccc2c(c1)OCO2,-1
,,7.40346,Hepatitis B virus,C=C(N=[N+]=[N-])c1cn(COCCO)c(=O)[nH]c1=O,O=c1cc[nH]c(=O)[nH]1,-1
,,7.40012,Hepatitis C virus,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)NS(=O)(=O)C6CC6)C[C@H]5/C=C\CCCCCC(OC(=O)C(C)(C)C)C(=O)N4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,O=C1NC2(C(=O)NS(=O)(=O)C3CC3)CC2C=CCCCCCCC(=O)N2CC(Oc3cc(-c4nccs4)nc4ccccc34)CC12,-1
,,7.4,Herpes simplex virus,CCSc1cc(NC2CCCC2)cc2c(-c3ccnc(NC4CCCC4)n3)c(-c3ccc(OC)cc3)nn12,c1ccc(-c2nn3ccc(NC4CCCC4)cc3c2-c2ccnc(NC3CCCC3)n2)cc1,583
,,7.4,Influenza A virus,COC(=O)[C@@H](c1ccccc1)N1CCN(C(=O)c2cccc(-c3nc4cc(OC)ccc4o3)c2)CC1,O=C(c1cccc(-c2nc3ccccc3o2)c1)N1CCN(Cc2ccccc2)CC1,398
,5'-Deoxy-TCRB,7.4,Cytomegalovirus,C[C@H]1O[C@@H](n2c(Cl)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,c1ccc2c(c1)ncn2C1CCCO1,118
,PHA-570886,7.4,Cytomegalovirus,O=C(NCc1ccc(Cl)cc1)c1cn2c(CCN3CCOCC3)cc3cc(CN4CCOCC4)cc(c1=O)c32,O=C(NCc1ccccc1)c1cn2c(CCN3CCOCC3)cc3cc(CN4CCOCC4)cc(c1=O)c32,117
,Helveticoside,7.4,Herpes simplex virus,C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)C[C@H](O)[C@@H]1O,O=C1C=C(C2CCC3C2CCC2C4CCC(OC5CCCCO5)CC4CCC23)CO1,78
DB01024,Mycophenolic acid,7.4,West Nile virus,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,O=C1OCc2ccccc21,-1
,TF-27,7.4,Cytomegalovirus,C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)OCC(C[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)C[C@H]3O[C@@H]4O[C@@]5(C)CC[C@H]6[C@H](C)CC[C@@H]([C@H]3C)[C@]64OO5)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,O=C(CCC(=O)OC1CC2CCCC3CCC4OOC32C(O4)O1)OCC(CC1CC2CCCC3CCC4OOC32C(O1)O4)CC1CC2CCCC3CCC4OOC32C(O1)O4,-1
,MBX-1616,7.4,Cytomegalovirus,CSc1nc(N)nc2c1ncn2/C=C1/C[C@@H]1CO,C(=C1CC1)n1cnc2cncnc21,-1
,AGMA-1,7.4,Human papilloma virus (HPV),CCC(=O)NC(NC(=O)CCNCCCCNC(=N)N)C(=O)O,,-1
,Synguanol,7.4,Cytomegalovirus,Nc1nc2c(ncn2/C=C2/CC2CO)c(=O)[nH]1,O=c1[nH]cnc2c1ncn2C=C1CC1,-1
,,7.4,Ebola virus,O=C(NC1CCNCC1)[C@@]12C[C@H]3C[C@@H](C1)C[C@](c1ccccc1)(C3)C2,O=C(NC1CCNCC1)C12CC3CC(C1)CC(c1ccccc1)(C3)C2,-1
,,7.4,Enterovirus,O=C1N(CCCCCOc2ccc(-c3ccccc3)cc2)CCN1c1ccncc1,O=C1N(CCCCCOc2ccc(-c3ccccc3)cc2)CCN1c1ccncc1,-1
,,7.4,Varicella zoster virus,O=C(CN(C(=O)C1CCS(=O)(=O)CC1)c1ccc2c(c1)CCC2)Nc1ccc(-c2cocn2)cc1,O=C(CN(C(=O)C1CCS(=O)(=O)CC1)c1ccc2c(c1)CCC2)Nc1ccc(-c2cocn2)cc1,-1
,,7.4,Cytomegalovirus,O=C1NC(=O)c2c1c1c3ccc(F)cc3[nH]c1c1[nH]c3cc(F)ccc3c21,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,-1
,,7.39794,Hepatitis C virus,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCCN2CCOCC2)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C(SCCCN2CCOCC2)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,586
,,7.39794,Influenza B virus,Cc1cc(=O)oc2c1ccc1oc(C(=O)c3cccs3)c(-c3ccccc3)c12,O=C(c1cccs1)c1oc2ccc3ccc(=O)oc3c2c1-c1ccccc1,585
,,7.39794,Hepatitis C virus,CNC(=O)c1c(-c2ccc(F)cc2)oc2ccc(-c3cc(C(=O)NC4(c5ccc6cccnc6n5)CC4)ccc3C)cc12,O=C(NC1(c2ccc3cccnc3n2)CC1)c1cccc(-c2ccc3oc(-c4ccccc4)cc3c2)c1,584
,,7.39794,Hepatitis C virus,CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1([C@H]3CCCS3(=O)=O)CCCCC1)C1(C)CCCCC1)C2(C)C)C(=O)C(=O)NC1CC1,O=C(NC(C(=O)N1CC2CC2C1C(=O)NCC(=O)C(=O)NC1CC1)C1CCCCC1)NC1(C2CCCS2(=O)=O)CCCCC1,549
,Adafosbuvir,7.39794,Hepatitis C virus,CC(C)OC(=O)[C@H](C)NP(=O)(OC[C@@]1(F)O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1,O=c1ccn(C2CCC(CO[PH](=O)Oc3ccccc3)O2)c(=O)[nH]1,120
,NSC-308848,7.39794,Hepatitis C virus,CCN(CC)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O,O=C1NC(=O)c2cccc3cccc1c23,119
,FA-2,7.39794,Influenza A virus,Cc1onc(-c2ccccc2Cl)c1C(=O)N1CCN(c2ccc([N+](=O)[O-])cc2Cl)CC1,O=C(c1conc1-c1ccccc1)N1CCN(c2ccccc2)CC1,40
,,7.39794,Hepatitis C virus,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](CC#N)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,20
DB12323,Radotinib,7.39794,Hepatitis C virus,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cnccn5)n4)c3)cc(C(F)(F)F)c2)cn1,O=C(Nc1cccc(-n2ccnc2)c1)c1cccc(Nc2nccc(-c3cnccn3)n2)c1,-1
,SCH-6,7.39794,Hepatitis C virus,CN(C)C(=O)[C@@H](NC(=O)CNC(=O)C(=O)C(CC1CC1)NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C2(C)C)c1ccccc1,O=C(CNC(=O)C(=O)C(CC1CC1)NC(=O)C1NCC2CC21)NCc1ccccc1,-1
DB13916,Toyocamycin,7.39794,Filovirus,N#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ncnc(N)c12,c1ncc2ccn(C3CCCO3)c2n1,-1
,Narlaprevir,7.39794,Hepatitis C virus,CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,O=C(NCC(=O)N1CC2CC2C1C(=O)NCC(=O)C(=O)NC1CC1)NC1CCCCC1,-1
,NIM-258,7.39794,Hepatitis C virus,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H]([C@H](C)CN2CCN(CCOC)CC2)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C(CCN2CCNCC2)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1,-1
,IB-32,7.39794,Hepatitis C virus,c1ccc(C(Nc2ncnc3sccc23)C2CC2)cc1,c1ccc(C(Nc2ncnc3sccc23)C2CC2)cc1,-1
,,7.39794,Hepatitis B virus,Cc1cc(NC(=O)c2cc(S(=O)(=O)NC3(C(F)(F)F)CC3)sc2C)ccc1F,O=C(Nc1ccccc1)c1csc(S(=O)(=O)NC2CC2)c1,-1
,,7.39794,Influenza A virus,O=C(Nc1sc2c(c1C(=O)O)CCC(c1ccccc1)C2)c1ccccc1,O=C(Nc1cc2c(s1)CC(c1ccccc1)CC2)c1ccccc1,-1
,,7.39794,Influenza B virus,CC1(C)N=C(N)N=C(N)N1c1cccc(Cl)c1,C1=NC=NCN1c1ccccc1,-1
,,7.39794,Influenza A virus,Cc1[nH]c2ccc(-c3nnc(SCC(=O)N4CCCC4)o3)cc2c1C,O=C(CSc1nnc(-c2ccc3[nH]ccc3c2)o1)N1CCCC1,-1
,,7.39794,Hepatitis C virus,CC(=O)CC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc2cccc(O)c2)C(=O)N2CCC[C@H](N2)C(=O)O[C@H](/C(C)=C/C=C/C(=O)OC(C)(C)C)C/C=C/C=C/[C@H](O)[C@H](C)[C@H]1O,O=C1CCCCC=CC=CCCOC(=O)C2CCCN(N2)C(=O)C(Cc2ccccc2)NC(=O)CN1,-1
,,7.39794,Hepatitis C virus,C=CCNC(=O)C(=O)C(CCC)NC(=O)[C@@H]1CC2(CN1C(=O)[C@@H](NC(=O)N[C@@H](CN1C(=O)CC(C)(C)CC1=O)C(C)(C)C)C(C)(C)C)SCCS2,O=C(NCCN1C(=O)CCCC1=O)NCC(=O)N1CCC2(C1)SCCS2,-1
,,7.39794,Hepatitis C virus,C=CCNC(=O)C(=O)C(CCC)NC(=O)[C@@H]1CC2(CN1C(=O)[C@@H](NC(=O)N[C@@H](CN1C(=O)CC(C)(C)CC1=O)C(C)(C)C)C1(C)CCCCC1)SCCS2,O=C(NCCN1C(=O)CCCC1=O)NC(C(=O)N1CCC2(C1)SCCS2)C1CCCCC1,-1
,,7.39794,Hepatitis C virus,Cn1c(-c2ccccc2)cc2ccc(S(=O)(=O)N[C@H]3CC[C@H](C(=O)N4CC5(CN(C(=O)OC(C)(C)C)C5)C4)CC3)cc21,O=C(C1CCC(NS(=O)(=O)c2ccc3cc(-c4ccccc4)[nH]c3c2)CC1)N1CC2(CNC2)C1,-1
,,7.39794,Hepatitis B virus,CC(C)(C)C(=O)OCOP(=O)(COC1(Cn2cnc3cnc(N)nc32)CC1)OCOC(=O)C(C)(C)C,c1ncc2ncn(CC3CC3)c2n1,-1
,,7.39794,Hepatitis C virus,CC(C)OC(=O)[C@H](C)NP(=S)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1,O=c1ccn(C2CCC(CO[PH](=S)Oc3ccccc3)O2)c(=O)[nH]1,-1
,,7.39794,Hepatitis C virus,C[C@H]1CN(C(=O)[C@H]2CC[C@H](NS(=O)(=O)c3ccc4c(Cl)c(-c5ccccc5)[nH]c4c3)CC2)C[C@@H](C)O1,O=C(C1CCC(NS(=O)(=O)c2ccc3cc(-c4ccccc4)[nH]c3c2)CC1)N1CCOCC1,-1
,,7.39794,Hepatitis C virus,C[C@H](NP(=O)(OC[C@@]1(F)O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1)C(=O)OCC(C)(C)C,O=c1ccn(C2CCC(CO[PH](=O)Oc3ccccc3)O2)c(=O)[nH]1,-1
,,7.39794,Hepatitis C virus,C[C@H](NP(=O)(OC[C@@]1(F)O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(O)[C@@H]1O)Oc1ccccc1)C(=O)OC1CCCCC1,O=C(CNP(=O)(OCC1CCC(n2ccc(=O)[nH]c2=O)O1)Oc1ccccc1)OC1CCCCC1,-1
,,7.39686,Influenza A virus,CC1(C)Cc2c(sc(NC(=O)c3ccc(N4CCOCC4)cc3)c2C(=O)O)C(C)(C)C1,O=C(Nc1cc2c(s1)CCCC2)c1ccc(N2CCOCC2)cc1,-1
,,7.39,Rhinovirus,Cc1cc(CCCOc2c(C)cc(-c3cc(C)c(OCCCc4cc(C)no4)c(C)c3)cc2C)on1,c1cc(CCCOc2ccc(-c3ccc(OCCCc4ccno4)cc3)cc2)on1,588
,,7.39,Enterovirus,CC1(C)CC[C@]2(C(=O)OCCCCCCOC(=O)C[C@@H](O)C(=O)OCCCCCCOC(=O)[C@]34CCC(C)(C)C[C@H]3C3=CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)C6CC[C@@]5(C)[C@]3(C)CC4)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@]43C)[C@@H]2C1,O=C(CCC(=O)OCCCCCCOC(=O)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2)OCCCCCCOC(=O)C12CCCCC1C1=CCC3C4CCCCC4CCC3C1CC2,587
,,7.39,Respiratory syncytial virus,Cc1ccc2nc(N3CCS(=O)(=O)c4ccccc4C3)cc(NCCO)c2c1,O=S1(=O)CCN(c2ccc3ccccc3n2)Cc2ccccc21,303
,Scytovirin domain 1,7.39,Ebola virus,C[C@H](NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](CO)NC(=O)CN)[C@@H](C)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CS)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)NCC(=O)O)[C@@H](C)O)[C@@H](C)O,O=C(CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)C1CCCN1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)NCC(=O)N1CCCC1,-1
,,7.39,Respiratory syncytial virus,Cc1cc(Cn2cc(-c3cccnc3)nc2Cn2c(=O)n(C3CC3)c3ccncc32)on1,O=c1n(Cc2nc(-c3cccnc3)cn2Cc2ccno2)c2cnccc2n1C1CC1,-1
,,7.39,Cytomegalovirus,O=C(Nc1ccc(NC(=S)Nc2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1)c1csnn1,O=C(Nc1ccc(NC(=S)Nc2ccccc2)cc1)c1csnn1,-1
,,7.38722,Hepatitis B virus,CCOC(=O)C1=C(CN2CCN3C(=O)N(CC(C)(C)C(=O)NCCCCCCOc4cc5c(cc4OC)-c4cc(=O)c(C(=O)O)cn4C(C(C)(C)C)C5)C[C@@H]3C2)NC(c2nccs2)=N[C@H]1c1cccc(F)c1Cl,O=C(CCN1CC2CN(CC3=CC(c4ccccc4)N=C(c4nccs4)N3)CCN2C1=O)NCCCCCCOc1ccc2c(c1)CCn1ccc(=O)cc1-2,-1
,,7.38722,Influenza A virus,Cc1cc(Oc2ccccc2)c(C(C)C)cc1-c1cc(C(=O)O)c2cc(F)ccc2n1,c1ccc(Oc2ccc(-c3ccc4ccccc4n3)cc2)cc1,-1
,,7.38722,Hepatitis B virus,COC(=O)C1=C(CN2CCN(CCCCCCOc3cc4c(cc3OC)-c3cc(=O)c(C(=O)O)cn3C(C(C)(C)C)C4)CC2)NC(c2nccs2)=N[C@H]1c1ccc(F)cc1Cl,O=c1ccn2c(c1)-c1ccc(OCCCCCCN3CCN(CC4=CC(c5ccccc5)N=C(c5nccs5)N4)CC3)cc1CC2,-1
,,7.38722,Hepatitis B virus,CCOC(=O)C1=C(CN2CCOCC2)N(Cc2oc(=O)oc2C)C(c2nccs2)=NC1c1ccc(F)cc1Br,O=c1occ(CN2C(CN3CCOCC3)=CC(c3ccccc3)N=C2c2nccs2)o1,-1
,,7.38722,Hepatitis C virus,COc1ccc(-c2oc(Cc3ccccc3)nc2C)cc1S(=O)(=O)N[C@H]1CC[C@H](O)CC1,O=S(=O)(NC1CCCCC1)c1cccc(-c2cnc(Cc3ccccc3)o2)c1,-1
,,7.38269,Hepatitis C virus,CC(C)(C)OC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(C(=O)Nc4ccc(CN5CCS(=O)(=O)CC5)cc4)cc3)cc2)[nH]1)c1ccccc1,O=C(Nc1ccc(CN2CCS(=O)(=O)CC2)cc1)c1ccc(-c2ccc(-c3cnc(C4CCCN4C(=O)Cc4ccccc4)[nH]3)cc2)cc1,589
,,7.38,Varicella zoster virus,Cc1cccc(C)c1N(CC(=O)Nc1ccc(-n2nccn2)cc1)C(=O)C1CCS(=O)(=O)CC1,O=C(CN(C(=O)C1CCS(=O)(=O)CC1)c1ccccc1)Nc1ccc(-n2nccn2)cc1,-1
,,7.38,Dengue virus,O=C1C[C@]2(C(=O)Nc3ccc(Cl)cc32)c2cnn(Cc3ccc(Cl)cn3)c2N1,O=C1CC2(C(=O)Nc3ccccc32)c2cnn(Cc3ccccn3)c2N1,-1
,,7.38,Respiratory syncytial virus,CN[C@H](C(=O)O[C@@H]1CC[C@@](C)(/C=C/c2ccc3c(c2O)[C@@](O)(c2ccccc2)[C@H](OC)C(=O)N3)C[C@H]1C)C(C)C,O=C1CC(c2ccccc2)c2cc(C=CC3CCCCC3)ccc2N1,-1
,,7.37675,Hepatitis C virus,C=C[C@@H]1C[C@]1(NC(=O)[C@@H]1C[C@@H](Oc2cc(-c3ccccc3)nc3cc(OC)ccc23)CN1C(=O)[C@@H](OC(=O)NC(C)(C)C)C(C)(C)C)C(=O)NS(=O)(=O)C1CC1,O=C(NC1(C(=O)NS(=O)(=O)C2CC2)CC1)C1CC(Oc2cc(-c3ccccc3)nc3ccccc23)CN1,590
,,7.37675,Hepatitis B virus,COC[C@H](NP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccccc1)C(=O)OC(C)C,O=[PH](COCCn1cnc2cncnc21)Oc1ccccc1,580
,,7.37675,Hepatitis C virus,CNC(=O)c1nc(N)c2[nH]c(=O)n(Cc3ccccc3)c2n1,O=c1[nH]c2cncnc2n1Cc1ccccc1,451
,,7.37675,Hepatitis B virus,O=C(Nc1cccc(Cl)c1)c1cc(S(=O)(=O)NC2CCCC2)ccc1F,O=C(Nc1ccccc1)c1cccc(S(=O)(=O)NC2CCCC2)c1,-1
,,7.37675,Influenza A virus,CC1(C)C[C@H](O)C[C@](C)(CNc2cccc(C(F)(F)F)c2)C1,c1ccc(NCC2CCCCC2)cc1,-1
,,7.37572,Hepatitis C virus,CC(=O)Nc1ccn([C@@H]2O[C@H](CO[P@@](=O)(N[C@H]3CCOC3=O)Oc3ccccc3)[C@@H](OC(C)=O)C2(F)F)c(=O)n1,O=C1OCCC1NP(=O)(OCC1CCC(n2cccnc2=O)O1)Oc1ccccc1,-1
,,7.37,Respiratory syncytial virus,NC1CCN(c2ncc(CN3C(=O)C4(CC4)c4ccc(F)cc43)c(NCCCCO)n2)C1,O=C1N(Cc2cnc(N3CCCC3)nc2)c2ccccc2C12CC2,-1
,,7.37,Respiratory syncytial virus,O=C1/C(=N/OCCF)c2cccnc2N1Cc1nc2ccccc2n1CCCCO,N=C1C(=O)N(Cc2nc3ccccc3[nH]2)c2ncccc21,-1
,,7.36835,Hepatitis C virus,[2H][C@@]1(O)[C@@H](COP(=O)(N[C@@H](C)C(=O)OC(C)C)Oc2ccccc2)O[C@@H](n2ccc(=O)[nH]c2=O)[C@]1(C)Cl,O=c1ccn(C2CCC(CO[PH](=O)Oc3ccccc3)O2)c(=O)[nH]1,591
,,7.36653,Hepatitis C virus,CC[C@@H](C)OC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@@](F)(Cl)[C@@H]1O)Oc1ccccc1,O=c1ccn(C2CCC(CO[PH](=O)Oc3ccccc3)O2)c(=O)[nH]1,33
